Month,Usage,1,2,3,4,5,6
1,905.2,570.276,878.044,1040.98,1240.124,1203.916,1357.8
2,855.3,538.839,829.641,983.595,1171.761,1137.549,1282.95
3,1095.2,689.976,1062.344,1259.48,1500.424,1456.616,1642.8
4,875.2,551.376,848.944,1006.48,1199.024,1164.016,1312.8
5,723.6,455.868,701.892,832.14,991.332,962.388,1085.4
6,927.7,584.451,899.869,1066.855,1270.949,1233.841,1391.55
7,1245.4,784.602,1208.038,1432.21,1706.198,1656.382,1868.1
8,1039.8,655.074,1008.606,1195.77,1424.526,1382.934,1559.7
9,746.6,470.358,724.202,858.59,1022.842,992.978,1119.9
10,834,525.42,808.98,959.1,1142.58,1109.22,1251
11,990.9,624.267,961.173,1139.535,1357.533,1317.897,1486.35
12,1124.3,708.309,1090.571,1292.945,1540.291,1495.319,1686.45