Month,Usage,1000,1499,1999,2499,2999,10000
1,905.2,425.444,706.056,995.72,1004.772,1140.552,1375.904
2,855.3,401.991,667.134,940.83,949.383,1077.678,1300.056
3,1095.2,514.744,854.256,1204.72,1215.672,1379.952,1664.704
4,875.2,411.344,682.656,962.72,971.472,1102.752,1330.304
5,723.6,340.092,564.408,795.96,803.196,911.736,1099.872
6,927.7,436.019,723.606,1020.47,1029.747,1168.902,1410.104
7,1245.4,585.338,971.412,1369.94,1382.394,1569.204,1893.008
8,1039.8,488.706,811.044,1143.78,1154.178,1310.148,1580.496
9,746.6,350.902,582.348,821.26,828.726,940.716,1134.832
10,834,391.98,650.52,917.4,925.74,1050.84,1267.68
11,990.9,465.723,772.902,1089.99,1099.899,1248.534,1506.168
12,1124.3,528.421,876.954,1236.73,1247.973,1416.618,1708.936